,AAPL,MSFT,^GSPC
2021-05-26,128.82190002441405,240.21559936523437,3982.7212231445315
2021-05-27,128.7655000305176,240.52579940795897,3986.692121582031
2021-05-28,128.6911000061035,240.82639938354492,3990.4864208984377
2021-05-31,128.64740005493164,241.1482992553711,3994.531418457031
2021-06-01,128.60220001220702,241.47299926757813,3998.5399194335937
2021-06-02,128.54389999389647,241.7825993347168,4002.5227197265626
2021-06-03,128.49019996643065,242.10949935913087,4006.4958203125
2021-06-04,128.47769996643066,242.49089935302734,4011.1122216796875
2021-06-07,128.46529998779297,242.90249938964843,4015.694921875
2021-06-08,128.4543999481201,243.26379943847655,4019.978420410156
2021-06-09,128.40539993286131,243.55629943847657,4023.6554174804687
2021-06-10,128.29779998779296,243.87899932861328,4027.5165185546875
2021-06-11,128.180599899292,244.19839950561524,4031.5762182617186
2021-06-14,128.05619987487793,244.50199966430665,4035.5741162109375
2021-06-15,127.92099983215331,244.76229949951173,4039.5438134765627
2021-06-16,127.80189979553222,245.007099609375,4044.273115234375
2021-06-17,127.74889976501464,245.22679962158202,4048.6179150390626
2021-06-18,127.73389976501466,245.50149948120117,4053.1400170898437
2021-06-21,127.71549980163574,245.73129959106444,4057.64931640625
2021-06-22,127.7053997039795,245.99129974365235,4061.850615234375
2021-06-23,127.70299964904785,246.21399963378906,4065.967314453125
2021-06-24,127.66319969177246,246.46079971313478,4069.914816894531
2021-06-25,127.62669975280761,246.68899963378905,4073.853518066406
2021-06-28,127.60539970397949,246.95149963378907,4077.6037158203126
2021-06-29,127.60859977722168,247.2277995300293,4081.4094140625
2021-06-30,127.62429985046387,247.50859939575196,4085.285615234375
2021-07-01,127.64569984436035,247.77969940185548,4089.3212158203123
2021-07-02,127.69159996032715,248.10629928588867,4093.4963134765626
2021-07-05,127.73750007629394,248.43289916992188,4097.671411132813
2021-07-06,127.82580009460449,248.77249923706054,4101.780910644531
2021-07-07,127.96310020446778,249.12979919433593,4106.048908691406
2021-07-08,128.09840019226075,249.46609939575194,4110.117407226562
2021-07-09,128.2508002471924,249.83579940795897,4114.745805664063
2021-07-12,128.4358002471924,250.2638995361328,4119.827104492188
2021-07-13,128.63360023498535,250.7409996032715,4124.705502929687
2021-07-14,128.87160018920898,251.22059967041017,4129.194201660156
2021-07-15,129.14650016784668,251.7409996032715,4134.5010986328125
2021-07-16,129.39780014038087,252.22469955444336,4139.661201171875
2021-07-19,129.544400100708,252.62539962768554,4143.227902832031
2021-07-20,129.75470001220702,253.07989974975587,4147.755603027344
2021-07-21,129.98809997558592,253.61829971313477,4153.145302734375
2021-07-22,130.25480003356932,254.21239990234375,4159.135402832031
2021-07-23,130.52620002746582,254.79309997558593,4164.833903808594
2021-07-26,130.85250007629395,255.40969985961914,4170.843400878906
2021-07-27,131.10930015563966,255.9372999572754,4176.103601074219
2021-07-28,131.3593000793457,256.475299987793,4181.121901855468
2021-07-29,131.59610008239747,256.9689999389648,4185.92
2021-07-30,131.84440010070801,257.4605999755859,4190.439196777344
2021-08-02,132.05970016479492,257.9607000732422,4194.621398925781
2021-08-03,132.2776001739502,258.4547999572754,4199.225798339844
2021-08-04,132.49950012207032,258.94950012207033,4203.511198730469
2021-08-05,132.76480010986327,259.5375,4208.647600097656
2021-08-06,133.02630012512208,260.12859985351565,4213.881799316407
2021-08-09,133.2533000946045,260.65199966430663,4218.7993994140625
2021-08-10,133.4839001464844,261.14059967041015,4224.06169921875
2021-08-11,133.74160018920898,261.65549972534177,4229.594401855469
2021-08-12,134.02460021972655,262.23019973754884,4235.107502441406
2021-08-13,134.303500289917,262.7938998413086,4240.042102050781
2021-08-16,134.60080024719238,263.38749984741213,4245.12830078125
2021-08-17,134.90370025634766,263.9997996520996,4250.023601074219
2021-08-18,135.14580024719237,264.5493997192383,4254.29740234375
2021-08-19,135.3828002166748,265.09359954833985,4258.15669921875
2021-08-20,135.63470024108886,265.7136993408203,4262.374697265625
2021-08-23,135.87280029296875,266.26949920654295,4266.390895996094
2021-08-24,136.1069002532959,266.81709915161133,4270.513796386719
2021-08-25,136.31150024414063,267.33819931030274,4274.676196289062
2021-08-26,136.48330017089845,267.79659927368164,4278.404497070313
2021-08-27,136.6393002319336,268.2352992248535,4282.210200195313
2021-08-30,136.85810012817382,268.7120991516113,4286.218198242187
2021-08-31,137.03210021972657,269.1459992980957,4290.0291015625
2021-09-01,137.23690017700196,269.60839920043946,4294.0233984375
2021-09-02,137.4284001159668,270.0248991394043,4297.688701171875
2021-09-03,137.62980010986328,270.42889938354494,4301.18830078125
2021-09-06,137.82440017700196,270.85289962768553,4304.910004882812
2021-09-07,138.0602001953125,271.2720994567871,4308.7609033203125
2021-09-08,138.276300201416,271.66839950561524,4312.16740234375
2021-09-09,138.49760025024415,272.0691993713379,4315.750400390625
2021-09-10,138.64410018920898,272.4147993469238,4318.534501953125
2021-09-13,138.79240020751953,272.7691993713379,4321.345600585937
2021-09-14,138.92970016479492,273.14739944458006,4323.908896484375
2021-09-15,139.08420013427735,273.64999954223634,4326.884096679688
2021-09-16,139.23730010986327,274.177099609375,4329.50689453125
2021-09-17,139.38330001831054,274.65399963378906,4332.02509765625
2021-09-20,139.48730010986327,275.0783995056152,4333.675795898437
2021-09-21,139.64310005187988,275.5484994506836,4335.57109375
2021-09-22,139.8206000518799,276.06959930419924,4337.851596679688
2021-09-23,139.9915000152588,276.5678993225098,4340.3251953125
2021-09-24,140.15859992980958,277.03679931640625,4342.553994140625
2021-09-27,140.34379989624023,277.50669952392576,4345.100791015625
2021-09-28,140.50379989624022,277.8795994567871,4347.106088867187
2021-09-29,140.7043999481201,278.3295994567871,4350.070288085937
2021-09-30,140.86969993591308,278.7184996032715,4352.020688476562
2021-10-01,141.0216999053955,279.1279997253418,4353.852587890625
2021-10-04,141.15039993286132,279.5072996520996,4355.224287109375
2021-10-05,141.31299995422364,279.9640997314453,4357.403188476563
2021-10-06,141.48609992980957,280.46399963378906,4359.881884765625
2021-10-07,141.64589988708497,280.9476997375488,4362.28828125
2021-10-08,141.82059982299805,281.4444998168945,4364.643081054687
2021-10-11,141.97769981384278,281.87899993896485,4366.284482421875
2021-10-12,142.12379974365234,282.29059997558596,4367.909682617187
2021-10-13,142.26439979553223,282.7387998962402,4369.587778320312
2021-10-14,142.44919975280763,283.2731999206543,4371.961577148438
2021-10-15,142.65149971008302,283.8184999084473,4374.6341796875
2021-10-18,142.87089973449707,284.3946000671387,4377.4576806640625
2021-10-19,143.11569969177245,285.0029002380371,4380.633579101563
2021-10-20,143.35769966125488,285.60400024414065,4383.91427734375
2021-10-21,143.617099609375,286.2545002746582,4387.48357421875
2021-10-22,143.84509963989257,286.838200378418,4390.633671875
2021-10-25,144.0724996185303,287.38140045166017,4394.033271484375
2021-10-26,144.29829971313475,287.9568002319336,4397.50857421875
2021-10-27,144.51549980163574,288.65260040283204,4400.829877929687
2021-10-28,144.7800998687744,289.3237005615234,4404.402275390625
2021-10-29,145.0045999145508,290.0610003662109,4407.981674804688
2021-11-01,145.18940002441406,290.75580017089845,4411.566875
2021-11-02,145.39320007324218,291.5035003662109,4415.407475585937
2021-11-03,145.606600189209,292.2697003173828,4419.776171875
2021-11-04,145.79830032348633,293.02510040283204,4424.358173828125
2021-11-05,146.00650024414062,293.79140045166014,4429.668969726563
2021-11-08,146.18790023803712,294.5350003051758,4434.4380712890625
2021-11-09,146.35620025634765,295.23940032958984,4438.826171875
2021-11-10,146.4984002685547,295.8947003173828,4442.874873046875
2021-11-11,146.64300018310547,296.5521002197266,4446.702670898438
2021-11-12,146.8118002319336,297.2691003417969,4450.724169921875
2021-11-15,146.96400024414064,297.94260040283206,4454.646069335938
2021-11-16,147.11070022583007,298.62370056152344,4458.7370703125
2021-11-17,147.27600021362304,299.30590057373047,4462.64876953125
2021-11-18,147.4820001220703,300.00260040283206,4466.494770507812
2021-11-19,147.68790008544923,300.65720031738283,4469.950971679687
2021-11-22,147.89850006103515,301.2790002441406,4473.25697265625
2021-11-23,148.09240005493163,301.87920013427737,4476.72857421875
2021-11-24,148.26610000610353,302.4590002441406,4480.161875
2021-11-25,148.45309997558593,303.0639001464844,4483.968276367187
2021-11-26,148.57009994506836,303.5813000488281,4486.218979492188
2021-11-29,148.7275,304.17440002441407,4488.925380859375
2021-11-30,148.9241000366211,304.6704998779297,4490.90328125
2021-12-01,149.08030014038087,305.1461996459961,4492.29068359375
2021-12-02,149.23310012817382,305.63079956054685,4494.46138671875
2021-12-03,149.38760009765625,306.05339965820315,4496.574086914063
2021-12-06,149.616300201416,306.5451995849609,4499.9058837890625
2021-12-07,149.86660018920898,307.1011996459961,4503.542783203125
2021-12-08,150.16340026855468,307.6368997192383,4506.967983398437
2021-12-09,150.44100021362306,308.10649963378904,4509.967685546875
2021-12-10,150.74990020751954,308.63519958496096,4512.969985351562
2021-12-13,151.01740020751953,309.1386996459961,4515.436689453125
2021-12-14,151.29300018310548,309.5566995239258,4517.76298828125
2021-12-15,151.63620025634765,310.0409994506836,4520.855087890625
2021-12-16,151.90240020751952,310.42499938964846,4523.350288085938
2021-12-17,152.1552001953125,310.813899230957,4525.604091796875
2021-12-20,152.3975001525879,311.16479919433596,4527.412690429687
